"abrv";"country";"region";"city";"zip";"lat";"long";"gmt"
"US";"United States";"California";"Pomona";"91766";"34.041742";"-117.761853";"-07:00"
"US";"United States";"Texas";"Dallas";"75201";"32.78306";"-96.80667";"-05:00"
"US";"United States";"Pennsylvania";"Philadelphia";"19132";"39.995807";"-75.167371";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"JP";"Japan";"Ibaraki";"Ushiku";"300-1234";"35.983";"140.15";"+09:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Arizona";"Fort Huachuca";"85613";"31.55646";"-110.35056";"-07:00"
"ZA";"South Africa";"Gauteng";"Johannesburg";"2041";"-26.20227";"28.04363";"+02:00"
"GB";"United Kingdom";"England";"Marfleet";"HU9 5RE";"53.74953";"-0.27258";"+01:00"
"RU";"Russian Federation";"Altayskiy kray";"Barnaul";"656008";"53.36056";"83.76361";"+03:00"
"US";"United States";"Massachusetts";"Cambridge";"02139";"42.365079";"-71.104519";"-04:00"
"CN";"China";"Beijing";"Beijing";"100038";"39.9075";"116.39723";"+08:00"
"PL";"Poland";"Malopolskie";"Krakow";"31-999";"50.08333";"19.91667";"+02:00"
"JP";"Japan";"Tokyo";"Tokyo";"214-0021";"35.689506";"139.6917";"+09:00"
"CN";"China";"Sichuan";"Chengdu";"610015";"30.66667";"104.06667";"+08:00"
"JP";"Japan";"Hyogo";"Takarazuka";"665-0821";"34.8";"135.367";"+09:00"
"CN";"China";"Beijing";"Beijing";"100006";"39.9075";"116.39723";"+08:00"
"CN";"China";"Beijing";"Beijing";"100006";"39.9075";"116.39723";"+08:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"DE";"Germany";"Baden-Wurttemberg";"Stuttgart";"70174";"48.78232";"9.17702";"+02:00"
"US";"United States";"Pennsylvania";"Harrisburg";"17105";"40.299031";"-76.801349";"-04:00"
"US";"United States";"California";"Mountain View";"94043";"37.405992";"-122.078515";"-07:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"AE";"United Arab Emirates";"Dubayy";"Dubai";"-";"25.25817";"55.30472";"+04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Michigan";"Rose City";"48654";"44.42111";"-84.11528";"-04:00"
"US";"United States";"Indiana";"Indianapolis";"46204";"39.772249";"-86.156516";"-04:00"
"US";"United States";"Pennsylvania";"Nazareth";"18064";"40.747154";"-75.320671";"-04:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"FI";"Finland";"Pirkanmaa";"Tampere";"33900";"61.49911";"23.78712";"+03:00"
"US";"United States";"California";"San Ramon";"94583";"37.754697";"-121.952908";"-07:00"
"US";"United States";"California";"Palo Alto";"94301";"37.44188";"-122.14302";"-07:00"
"PK";"Pakistan";"Islamabad";"Islamabad";"21061";"33.72148";"73.04329";"+05:00"
"US";"United States";"Pennsylvania";"Lebanon";"17042";"40.34093";"-76.41135";"-04:00"
"US";"United States";"Louisiana";"Monroe";"71203";"32.54833";"-92.045238";"-05:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"-";"-";"-";"-";"-";"0";"0";"-"
"-";"-";"-";"-";"-";"0";"0";"-"
"JP";"Japan";"Osaka";"Sakai";"559-0014";"34.57333";"135.48306";"+09:00"
"SE";"Sweden";"Vastra Gotaland";"Skoevde";"54194";"58.39118";"13.84506";"+02:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"EG";"Egypt";"Al Qahirah";"Cairo";"-";"30.06263";"31.24967";"+02:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Montana";"Bozeman";"59715";"45.67562";"-111.066873";"-06:00"
"FI";"Finland";"Pirkanmaa";"Tampere";"33900";"61.49911";"23.78712";"+03:00"
"MU";"Mauritius";"Port Louis";"Port Louis";"-";"-20.16194";"57.49889";"+04:00"
"MX";"Mexico";"Sinaloa";"Los Mochis";"81363";"25.76667";"-108.96667";"-06:00"
"GB";"United Kingdom";"England";"London";"WC2N 5RJ";"51.50853";"-0.12574";"+01:00"
"US";"United States";"Illinois";"Schaumburg";"60196";"42.06907";"-88.04607";"-05:00"
"GB";"United Kingdom";"England";"Twycross";"CV9 3QG";"52.64107";"-1.50341";"+01:00"
"US";"United States";"Missouri";"Saint Louis";"63101";"38.62727";"-90.19789";"-05:00"
"US";"United States";"Texas";"Plano";"75075";"33.01575";"-96.73747";"-05:00"
"US";"United States";"California";"Westlake Village";"91362";"34.19292";"-118.82262";"-07:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"California";"Truckee";"96160";"39.32796";"-120.18325";"-07:00"
"US";"United States";"California";"Los Alamitos";"90720";"33.80307";"-118.07256";"-07:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"IN";"India";"Haryana";"Gurgaon";"122101";"28.46667";"77.03333";"+05:30"
"CN";"China";"Shanxi";"Hejin";"043300";"35.583333";"110.7";"+08:00"
"AE";"United Arab Emirates";"Ash Shariqah";"Adh Dhayd";"-";"25.28812";"55.88157";"+04:00"
"US";"United States";"Michigan";"Ann Arbor";"48104";"42.259863";"-83.719897";"-04:00"
"CA";"Canada";"Ontario";"Toronto";"M3B 0A3";"43.70011";"-79.4163";"-04:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"JP";"Japan";"Hyogo";"Amagasaki";"660-0808";"34.733";"135.4";"+09:00"
"AU";"Australia";"South Australia";"Keswick";"5035";"-34.93333";"138.56667";"+09:30"
"US";"United States";"Texas";"Austin";"78711";"30.27822";"-97.7376";"-05:00"
"JP";"Japan";"Wakayama";"Wakayama";"641-0056";"34.233";"135.167";"+09:00"
"US";"United States";"North Carolina";"Raleigh";"27601";"35.7721";"-78.63861";"-04:00"
"US";"United States";"Arizona";"Fort Huachuca";"85613";"31.55646";"-110.35056";"-07:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"CH";"Switzerland";"Vaud";"Lausanne";"1007";"46.516";"6.63282";"+02:00"
"BE";"Belgium";"Brussels Hoofdstedelijk Gewest";"Brussels";"1140";"50.85045";"4.34878";"+02:00"
"US";"United States";"California";"Los Angeles";"90033";"34.0496";"-118.2103";"-07:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"AU";"Australia";"Australian Capital Territory";"Canberra";"2612";"-35.28346";"149.12807";"+10:00"
"US";"United States";"New York";"Brooklyn";"11201";"40.694983";"-73.991036";"-04:00"
"US";"United States";"Ohio";"Barberton";"44203";"41.01283";"-81.60512";"-04:00"
"US";"United States";"Indiana";"Indianapolis";"46204";"39.772249";"-86.156516";"-04:00"
"US";"United States";"California";"Los Angeles";"90001";"34.05223";"-118.24368";"-07:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"BR";"Brazil";"Minas Gerais";"Sete Lagoas";"35700-000";"-19.46583";"-44.24667";"-03:00"
"HK";"Hong Kong";"Hong Kong (SAR)";"Hong Kong";"-";"22.28552";"114.15769";"+08:00"
"US";"United States";"New Mexico";"Albuquerque";"87102";"35.076525";"-106.650075";"-06:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"PL";"Poland";"Wielkopolskie";"Suchy Las";"62-002";"52.47308";"16.87745";"+02:00"
"US";"United States";"Georgia";"Atlanta";"30301";"33.749";"-84.38798";"-04:00"
"SE";"Sweden";"Stockholms Lan";"Solna";"17331";"59.36004";"18.00086";"+02:00"
"MA";"Morocco";"Rabat-Sale-Zemmour-Zaer";"Rabat";"10220";"34.01325";"-6.83255";"+01:00"
"US";"United States";"California";"Menlo Park";"94025";"37.436934";"-122.193602";"-07:00"
"US";"United States";"Colorado";"Denver";"80202";"39.749838";"-104.995597";"-06:00"
"CA";"Canada";"Manitoba";"Winnipeg";"R3B 2E9";"49.889749";"-97.15396";"-05:00"
"PT";"Portugal";"Lisboa";"Lisbon";"1069-300";"38.71667";"-9.13333";"+01:00"
"US";"United States";"Connecticut";"Norwalk";"06850";"41.125735";"-73.440181";"-04:00"
"ZA";"South Africa";"Gauteng";"Johannesburg";"2041";"-26.20227";"28.04363";"+02:00"
"CN";"China";"Liaoning";"Dandong";"118001";"40.12917";"124.39472";"+08:00"
"US";"United States";"New York";"New York City";"10116";"40.71427";"-74.00597";"-04:00"
"NL";"Netherlands";"Zuid-Holland";"Rotterdam";"3099";"51.9225";"4.47917";"+02:00"
"CO";"Colombia";"Caldas";"Manzanares";"-";"5.32472";"-75.15694";"-05:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Arizona";"Fort Huachuca";"85613";"31.55646";"-110.35056";"-07:00"
"SE";"Sweden";"Stockholms Lan";"Solna";"17331";"59.36004";"18.00086";"+02:00"
"CN";"China";"Guizhou";"Qiandongnan";"556000";"26.583333";"107.983333";"+08:00"
"US";"United States";"California";"Los Angeles";"90001";"34.05223";"-118.24368";"-07:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Illinois";"Chicago";"60290";"41.85003";"-87.65005";"-05:00"
"IN";"India";"Karnataka";"Bangalore";"560018";"12.97623";"77.60329";"+05:30"
"VE";"Venezuela, Bolivarian Republic of";"Distrito Federal";"Caracas";"1050";"10.48801";"-66.87919";"-04:00"
"DK";"Denmark";"Sjelland";"Holbaek";"4300";"55.71667";"11.71667";"+02:00"
"US";"United States";"Washington";"Seattle";"98101";"47.60621";"-122.33207";"-07:00"
"BR";"Brazil";"Sao Paulo";"Taboao da Serra";"06750-000";"-23.62611";"-46.79167";"-03:00"
"JP";"Japan";"Tokyo";"Tokyo";"214-0021";"35.689506";"139.6917";"+09:00"
"US";"United States";"Indiana";"Indianapolis";"46204";"39.772249";"-86.156516";"-04:00"
"CN";"China";"Nei Mongol";"Baotou";"014010";"40.65222";"109.82222";"+08:00"
"JP";"Japan";"Tokyo";"Tokyo";"214-0021";"35.689506";"139.6917";"+09:00"
"US";"United States";"Texas";"Richardson";"75085";"32.9532";"-96.7044";"-05:00"
